time,actual_roll,actual_pitch,actual_yaw,estimated_roll,estimated_pitch,estimated_yaw,reference_roll,reference_pitch,reference_yawrate,m1,m2,m3,m4,l1,l2,l3,l4
2.547000,6.655429,0.842466,-0.000567,4.762492,1.214154,-0.005795,6.000000,0.000000,0.000000,48.577096,43.384451,41.414511,46.622416,31835.000000,28432.000000,27141.000000,30554.000000
2.597000,7.284206,0.591658,-0.000454,5.328314,-0.585021,0.007755,7.000000,0.000000,0.000000,40.657664,41.664759,49.353780,48.325322,26645.000000,27305.000000,32344.000000,31670.000000
2.647000,8.090369,0.614189,-0.000380,6.397065,-1.471899,-0.002769,7.000000,0.000000,0.000000,43.974975,42.793927,46.019684,47.211414,28819.000000,28045.000000,30159.000000,30940.000000
2.697000,8.701952,0.758652,-0.000417,5.662252,1.064610,-0.000104,8.000000,0.000000,0.000000,46.361486,43.984131,43.637751,46.015106,30383.000000,28825.000000,28598.000000,30156.000000
2.747000,9.307116,0.664866,-0.000430,5.968113,0.557181,0.000400,8.000000,0.000000,0.000000,42.539101,46.413367,47.460136,43.587396,27878.000000,30417.000000,31103.000000,28565.000000
2.797000,9.782288,0.643721,-0.000343,7.609406,2.626135,0.001717,9.000000,0.000000,0.000000,48.903639,38.648051,41.098650,51.349660,32049.000000,25328.000000,26934.000000,33652.000000
2.847000,10.379267,0.238917,-0.000196,7.043477,-1.390539,0.004797,9.000000,0.000000,0.000000,41.513695,44.533455,48.491646,45.461204,27206.000000,29185.000000,31779.000000,29793.000000
2.897000,10.996373,0.252572,-0.000177,5.885370,-0.597501,-0.002536,10.000000,0.000000,0.000000,38.905928,43.752193,51.090257,46.250095,25497.000000,28673.000000,33482.000000,30310.000000
2.947000,11.768082,0.071841,-0.000100,8.434105,1.140301,-0.004997,10.000000,0.000000,0.000000,50.685893,42.972457,39.310292,47.032883,33217.000000,28162.000000,25762.000000,30823.000000
2.997000,11.891016,-0.418041,-0.000171,8.904054,1.355516,-0.001374,9.000000,0.000000,0.000000,45.111772,43.610285,44.885939,46.392004,29564.000000,28580.000000,29416.000000,30403.000000
3.047000,12.255563,-0.450404,-0.000141,8.049879,0.133674,0.002203,9.000000,0.000000,0.000000,44.621958,41.255818,45.380331,48.740368,29243.000000,27037.000000,29740.000000,31942.000000
3.098000,12.398903,-0.897850,-0.000071,8.613218,-2.862830,-0.001592,8.000000,0.000000,0.000000,40.737011,49.784085,49.262226,40.216678,26697.000000,32626.000000,32284.000000,26356.000000
3.147000,12.097081,-0.431182,0.000050,7.627583,1.340638,-0.001508,8.000000,0.000000,0.000000,47.736324,44.736400,42.261387,45.265888,31284.000000,29318.000000,27696.000000,29665.000000
3.197000,11.710304,-0.236144,0.000163,8.113396,0.174733,-0.001371,7.000000,0.000000,0.000000,45.905241,48.323796,44.092470,41.676967,30084.000000,31669.000000,28896.000000,27313.000000
3.247000,11.194171,-0.635197,0.000042,5.708072,-1.702661,-0.006402,7.000000,0.000000,0.000000,40.405890,43.736934,49.585718,46.271458,26480.000000,28663.000000,32496.000000,30324.000000
3.296000,11.026616,-0.349844,0.000043,9.096464,1.065836,0.000197,6.000000,0.000000,0.000000,46.488136,43.883421,43.512627,46.115816,30466.000000,28759.000000,28516.000000,30222.000000
3.346000,10.724374,0.122982,0.000125,5.942026,-2.313741,0.000464,6.000000,0.000000,0.000000,45.564965,44.829480,44.437324,45.168231,29861.000000,29379.000000,29122.000000,29601.000000
3.396000,10.447952,0.152943,-0.000016,6.306795,-1.413223,-0.006384,5.000000,0.000000,0.000000,48.329900,44.934768,41.660182,45.073625,31673.000000,29448.000000,27302.000000,29539.000000
3.446000,9.519998,0.160206,-0.000038,7.121735,0.728244,0.002188,5.000000,0.000000,0.000000,45.835050,43.939879,44.167239,46.057832,30038.000000,28796.000000,28945.000000,30184.000000
3.496000,9.054350,0.573459,0.000065,5.147145,0.203618,-0.000094,4.000000,0.000000,0.000000,47.531853,44.426642,42.467384,45.572595,31150.000000,29115.000000,27831.000000,29866.000000
3.546000,8.107829,0.803361,0.000220,3.431944,-0.823018,0.004876,4.000000,0.000000,0.000000,42.494850,44.722667,47.513542,45.268940,27849.000000,29309.000000,31138.000000,29667.000000
3.596000,7.607683,0.730116,0.000214,2.525922,0.572112,0.001053,3.000000,0.000000,0.000000,40.221256,44.383917,49.779507,45.615320,26359.000000,29087.000000,32623.000000,29894.000000
3.646000,6.879776,0.425523,0.000054,5.777404,-0.336913,-0.001967,3.000000,0.000000,0.000000,47.978943,46.805524,42.015717,43.198291,31443.000000,30674.000000,27535.000000,28310.000000
3.696000,5.997142,-0.086841,-0.000245,3.541673,-0.001206,-0.002725,2.000000,0.000000,0.000000,44.972915,45.441367,45.021744,44.562448,29473.000000,29780.000000,29505.000000,29204.000000
3.746000,5.284341,-0.192472,-0.000279,3.572006,0.991026,-0.001219,2.000000,0.000000,0.000000,46.097505,45.712978,43.900206,44.289311,30210.000000,29958.000000,28770.000000,29025.000000
3.795000,4.413652,-0.491782,-0.000450,3.934818,-2.889015,-0.002307,1.000000,0.000000,0.000000,42.276646,49.536889,47.719539,40.466926,27706.000000,32464.000000,31273.000000,26520.000000
3.845000,3.973324,-0.297166,-0.000447,1.915243,0.327565,0.000253,1.000000,0.000000,0.000000,43.570611,50.084688,46.428626,39.916075,28554.000000,32823.000000,30427.000000,26159.000000
3.895000,3.004609,-0.249979,-0.000277,3.322633,-0.821592,-0.003049,0.000000,0.000000,0.000000,44.930190,49.336995,45.065995,40.666819,29445.000000,32333.000000,29534.000000,26651.000000
3.945000,2.253130,-0.271318,-0.000292,2.287928,0.918490,-0.002424,0.000000,0.000000,0.000000,43.500420,45.851835,46.497292,44.150454,28508.000000,30049.000000,30472.000000,28934.000000
3.996000,1.781685,-0.289647,-0.000380,2.993469,-1.161313,-0.001952,0.000000,1.000000,0.000000,43.527886,47.685969,46.469825,42.316320,28526.000000,31251.000000,30454.000000,27732.000000
4.046000,1.321248,0.146490,-0.000266,2.471190,2.841880,0.002099,0.000000,1.000000,0.000000,48.825818,42.847333,41.176471,47.150378,31998.000000,28080.000000,26985.000000,30900.000000
4.096000,0.958762,0.259981,-0.000245,1.552401,-0.853581,0.000575,0.000000,2.000000,0.000000,46.451514,45.061418,43.549248,44.937819,30442.000000,29531.000000,28540.000000,29450.000000
4.147000,0.819022,0.789672,-0.000207,1.752087,1.179908,-0.000683,0.000000,2.000000,0.000000,43.016709,45.300984,46.979477,44.701305,28191.000000,29688.000000,30788.000000,29295.000000
4.196000,0.775491,1.114256,-0.000218,0.804176,1.913968,-0.001069,0.000000,3.000000,0.000000,43.942931,50.795758,46.054780,39.206531,28798.000000,33289.000000,30182.000000,25694.000000
4.246000,0.478577,2.380925,0.000035,1.403655,0.703620,-0.008352,0.000000,3.000000,0.000000,46.207370,46.326390,43.782712,43.683528,30282.000000,30360.000000,28693.000000,28628.000000
4.296000,0.118252,2.837405,0.000107,-1.717561,2.334342,0.005400,0.000000,4.000000,0.000000,42.926680,48.717479,47.081712,41.274128,28132.000000,31927.000000,30855.000000,27049.000000
4.346000,-0.015814,3.873622,0.000029,-1.112297,4.572481,0.006239,0.000000,4.000000,0.000000,43.476005,43.962768,46.533913,46.027314,28492.000000,28811.000000,30496.000000,30164.000000
4.396000,0.196746,3.980373,-0.000003,-1.712891,4.352246,-0.001650,0.000000,5.000000,0.000000,46.222629,44.620432,43.773556,45.381857,30292.000000,29242.000000,28687.000000,29741.000000
4.446000,-0.237239,4.521563,0.000105,1.573435,1.111299,0.010061,0.000000,5.000000,0.000000,47.771420,36.588083,42.238499,53.403525,31307.000000,23978.000000,27681.000000,34998.000000
4.496000,-0.441180,4.972214,0.000304,-0.294870,1.388736,0.004541,0.000000,6.000000,0.000000,39.926757,48.432136,50.080110,41.560998,26166.000000,31740.000000,32820.000000,27237.000000
4.547000,-0.669373,6.204629,0.000471,1.123447,5.285883,0.003946,0.000000,6.000000,0.000000,48.187991,39.238575,41.817350,50.756085,31580.000000,25715.000000,27405.000000,33263.000000
4.596000,-0.786622,6.899918,0.000521,1.269321,4.735567,-0.007350,0.000000,7.000000,0.000000,51.189441,47.248035,38.805219,42.755779,33547.000000,30964.000000,25431.000000,28020.000000
4.646000,-0.595482,7.516232,0.000382,-0.456967,4.590620,-0.002903,0.000000,7.000000,0.000000,45.082780,47.153429,44.913405,42.850385,29545.000000,30902.000000,29434.000000,28082.000000
4.696000,-0.343184,8.695336,0.000240,0.541456,7.713009,-0.006974,0.000000,8.000000,0.000000,46.511025,45.441367,43.483635,44.562448,30481.000000,29780.000000,28497.000000,29204.000000
4.747000,-0.033799,9.498939,-0.000127,0.473844,5.208693,0.000437,0.000000,8.000000,0.000000,44.652476,42.519265,45.348287,47.478447,29263.000000,27865.000000,29719.000000,31115.000000
4.796000,-0.036114,9.573107,-0.000073,-0.359046,6.208270,-0.002044,0.000000,9.000000,0.000000,39.899290,43.840696,50.098421,46.160067,26148.000000,28731.000000,32832.000000,30251.000000
4.846000,0.135342,10.293165,-0.000133,-2.025440,6.361445,-0.001965,0.000000,9.000000,0.000000,43.996338,46.919966,46.001373,43.080797,28833.000000,30749.000000,30147.000000,28233.000000
4.896000,0.208755,11.394885,-0.000185,-0.200104,8.057260,-0.000457,0.000000,10.000000,0.000000,48.194095,42.888533,41.806668,47.110704,31584.000000,28107.000000,27398.000000,30874.000000
4.946000,0.244685,12.037874,-0.000156,-0.434379,8.514902,0.001760,0.000000,10.000000,0.000000,46.340124,44.980545,43.662165,45.017166,30369.000000,29478.000000,28614.000000,29502.000000
4.997000,0.186636,12.551388,-0.000227,1.297422,9.159569,-0.004239,0.000000,9.000000,0.000000,49.742885,42.339208,40.248722,47.667659,32599.000000,27747.000000,26377.000000,31239.000000
5.046000,0.043610,12.376373,-0.000235,-2.149275,8.406886,0.002048,0.000000,9.000000,0.000000,44.675364,41.620508,45.326925,48.377203,29278.000000,27276.000000,29705.000000,31704.000000
5.096000,-0.008608,12.582913,-0.000162,1.852007,10.137982,0.003906,0.000000,8.000000,0.000000,50.263218,41.196307,39.743648,48.796826,32940.000000,26998.000000,26046.000000,31979.000000
